,Id,titleRatio,titleErrorDist,company_profileRatio,company_profileErrorDist,descriptionRatio,descriptionErrorDist,requirementsRatio,requirementsErrorDist,benefitsRatio,benefitsErrorDist
0,0,0.11043204826446346,1.165218267619012,1.2988091738405134,-0.8374706765788049,-0.884298669475653,0.22906958071014882,-0.6763679994252748,-0.24210694898291196,0.5702827055379192,-0.5049970450481834
1,1,0.11043204826446346,-0.2758995212957811,-0.7511146117569467,-0.7111903048800421,-1.4501541724660385,-0.19326154968536788,-1.3436424561976679,-0.3678556329468033,0.00996537533580985,-0.47623887269222664
2,2,0.027445566492176904,1.165218267619012,0.12742415349910755,-0.1850220894685299,-0.3184431664852677,0.4978257545982049,-0.1425484340073604,2.272866730294915,-1.8951135473513618,-0.21741532148861598
3,3,-1.1343651783198347,0.7534703279290711,-0.16542210158624387,-0.0797884463862275,0.4360308375019128,0.09469149376612078,0.25781624005607545,-0.053483923037074964,-0.32622502278545573,0.0989245744269082
4,4,-0.1385273970523962,-0.07002555145081066,1.2988091738405134,-0.8374706765788049,0.4360308375019128,-0.3228404192385378,0.25781624005607545,0.16657627389973487,-2.1192404794322055,-0.27493166620052945
5,5,-1.1343651783198347,-0.07002555145081066,-2.801038397354407,1.372435828149546,0.6246493384987079,-0.13567094099507016,-0.9432777821342321,0.4023550563320311,-0.10209809070461201,1.4218005028009184
6,6,-0.22151387882468274,-0.4817734911407515,-1.3368071219276496,-0.3113024611672928,0.24741233650511765,-0.3804310279288355,0.3912711314105541,1.1096914036289198,0.5702827055379192,-0.5049970450481834
7,7,0.4423779753536097,-0.4817734911407515,-1.0439608668422982,-0.12188190361914847,0.4360308375019128,-0.2796474627208145,0.3912711314105541,0.5281037402959224,-0.21416155674503387,0.6740880215460431
8,8,0.3593914935813231,-0.4817734911407515,0.12742415349910755,0.2569592114771403,0.4360308375019128,-0.03968659317790726,-0.1425484340073604,-0.1792326070009663,-0.21416155674503387,1.1054606068853943
9,9,0.3593914935813231,-0.2758995212957811,0.42027040858445897,-0.24816227531791138,0.24741233650511765,-0.054084245350481695,0.25781624005607545,-0.08492109402804779,0.5702827055379192,-0.5049970450481834
10,10,0.19341853003675,-0.2758995212957811,1.2988091738405134,-0.8374706765788049,0.4360308375019128,-0.30844276706596335,0.9250906968284686,-0.7765388558294501,0.5702827055379192,-0.5049970450481834
11,11,0.6913374206704693,0.3417223882391302,-0.4582683566715953,-0.39548937563313474,-0.1298246654884726,-0.12607250621335386,-2.678191369742454,-0.13207685051450704,0.12202884137623171,-0.38996435562435644
12,12,0.4423779753536097,-0.4817734911407515,1.2988091738405134,-0.8374706765788049,0.24741233650511765,-0.16926546273107715,-0.5429131080707963,0.41807364182751755,0.5702827055379192,-0.5049970450481834
13,13,0.5253644571258962,0.5475963580841007,1.2988091738405134,-0.8374706765788049,0.24741233650511765,-0.010891288832758394,0.9250906968284686,-0.7765388558294501,0.5702827055379192,-0.5049970450481834
14,14,0.6083509388981828,-0.4817734911407515,1.2988091738405134,-0.8374706765788049,0.4360308375019128,-0.3228404192385378,0.6581809141195113,-0.5407600733971539,0.12202884137623171,-0.10238263206478901
15,15,-0.6364462876861156,2.606336056533805,0.42027040858445897,-0.1850220894685299,0.24741233650511765,-0.22685607142137487,0.12436134870159683,-0.6822273428565316,-0.43828848882587756,-0.4474807003362699
16,16,0.027445566492176904,0.1358484183941598,1.2988091738405134,-0.8374706765788049,-0.1298246654884726,1.2848974066989407,-0.009093542652881781,-0.4621671459197218,0.5702827055379192,-0.5049970450481834
17,17,0.6083509388981828,-0.6876474609857219,-1.0439608668422982,-0.43758283286605576,-1.0729171704724483,-0.010891288832758394,0.9250906968284686,-0.7765388558294501,0.5702827055379192,-0.5049970450481834
18,18,-0.05554091528010965,0.1358484183941598,1.2988091738405134,-0.8374706765788049,0.24741233650511765,-0.22205685403051673,0.12436134870159683,-0.5407600733971539,-0.32622502278545573,-0.27493166620052945
19,19,-0.05554091528010965,0.5475963580841007,-0.16542210158624387,-0.0797884463862275,-2.0160096754564236,0.20027427636499995,-0.009093542652881781,2.209992388312969,-0.21416155674503387,0.24271543620669192
